issue,prize,hundred,ten,unit,sum,tail,gap
2016001,828,8,2,8,18,8,6
2016002,567,5,6,7,18,8,2
2016003,573,5,7,3,15,5,4
2016004,543,5,4,3,12,2,2
2016005,439,4,3,9,16,6,6
2016006,101,1,0,1,2,2,1
2016007,174,1,7,4,12,2,6
2016008,967,9,6,7,22,2,3
2016009,648,6,4,8,18,8,4
2016010,823,8,2,3,13,3,6
2016011,461,4,6,1,11,1,5
2016012,530,5,3,0,8,8,5
2016013,019,0,1,9,10,0,9
2016014,925,9,2,5,16,6,7
2016015,686,6,8,6,20,0,2
2016016,841,8,4,1,13,3,7
2016017,861,8,6,1,15,5,7
2016018,646,6,4,6,16,6,2
2016019,883,8,8,3,19,9,5
2016020,693,6,9,3,18,8,6
2016021,402,4,0,2,6,6,4
2016022,744,7,4,4,15,5,3
2016023,041,0,4,1,5,5,4
2016024,091,0,9,1,10,0,9
2016025,500,5,0,0,5,5,5
2016026,403,4,0,3,7,7,4
2016027,729,7,2,9,18,8,7
2016028,262,2,6,2,10,0,4
2016029,225,2,2,5,9,9,3
2016030,988,9,8,8,25,5,1
2016031,457,4,5,7,16,6,3
2016032,555,5,5,5,15,5,0
2016033,002,0,0,2,2,2,2
2016034,102,1,0,2,3,3,2
2016035,051,0,5,1,6,6,5
2016036,258,2,5,8,15,5,6
2016037,624,6,2,4,12,2,4
2016038,823,8,2,3,13,3,6
2016039,503,5,0,3,8,8,5
2016040,047,0,4,7,11,1,7
2016041,720,7,2,0,9,9,7
2016042,729,7,2,9,18,8,7
2016043,944,9,4,4,17,7,5
2016044,012,0,1,2,3,3,2
2016045,612,6,1,2,9,9,5
2016046,126,1,2,6,9,9,5
2016047,132,1,3,2,6,6,2
2016048,337,3,3,7,13,3,4
2016049,618,6,1,8,15,5,7
2016050,140,1,4,0,5,5,4
2016051,102,1,0,2,3,3,2
2016052,792,7,9,2,18,8,7
2016053,447,4,4,7,15,5,3
2016054,736,7,3,6,16,6,4
2016055,323,3,2,3,8,8,1
2016056,665,6,6,5,17,7,1
2016057,764,7,6,4,17,7,3
2016058,119,1,1,9,11,1,8
2016059,078,0,7,8,15,5,8
2016060,686,6,8,6,20,0,2
2016061,675,6,7,5,18,8,2
2016062,477,4,7,7,18,8,3
2016063,491,4,9,1,14,4,8
2016064,455,4,5,5,14,4,1
2016065,016,0,1,6,7,7,6
2016066,455,4,5,5,14,4,1
2016067,445,4,4,5,13,3,1
2016068,013,0,1,3,4,4,3
2016069,995,9,9,5,23,3,4
2016070,789,7,8,9,24,4,2
2016071,530,5,3,0,8,8,5
2016072,299,2,9,9,20,0,7
2016073,972,9,7,2,18,8,7
2016074,951,9,5,1,15,5,8
2016075,637,6,3,7,16,6,4
2016076,606,6,0,6,12,2,6
2016077,782,7,8,2,17,7,6
2016078,467,4,6,7,17,7,3
2016079,390,3,9,0,12,2,9
2016080,670,6,7,0,13,3,7
2016081,150,1,5,0,6,6,5
2016082,748,7,4,8,19,9,4
2016083,234,2,3,4,9,9,2
2016084,023,0,2,3,5,5,3
2016085,997,9,9,7,25,5,2
2016086,065,0,6,5,11,1,6
2016087,917,9,1,7,17,7,8
2016088,547,5,4,7,16,6,3
2016089,983,9,8,3,20,0,6
2016090,867,8,6,7,21,1,2
2016091,133,1,3,3,7,7,2
2016092,273,2,7,3,12,2,5
2016093,982,9,8,2,19,9,7
2016094,960,9,6,0,15,5,9
2016095,869,8,6,9,23,3,3
2016096,410,4,1,0,5,5,4
2016097,111,1,1,1,3,3,0
2016098,982,9,8,2,19,9,7
2016099,332,3,3,2,8,8,1
2016100,037,0,3,7,10,0,7
2016101,603,6,0,3,9,9,6
2016102,885,8,8,5,21,1,3
2016103,762,7,6,2,15,5,5
2016104,219,2,1,9,12,2,8
2016105,611,6,1,1,8,8,5
2016106,037,0,3,7,10,0,7
2016107,240,2,4,0,6,6,4
2016108,236,2,3,6,11,1,4
2016109,071,0,7,1,8,8,7
2016110,772,7,7,2,16,6,5
2016111,476,4,7,6,17,7,3
2016112,611,6,1,1,8,8,5
2016113,297,2,9,7,18,8,7
2016114,218,2,1,8,11,1,7
