issue,prize,hundred,ten,unit,sum,tail,gap
2022001,378,3,7,8,18,8,5
2022002,287,2,8,7,17,7,6
2022003,558,5,5,8,18,8,3
2022004,099,0,9,9,18,8,9
2022005,871,8,7,1,16,6,7
2022006,438,4,3,8,15,5,5
2022007,523,5,2,3,10,0,3
2022008,842,8,4,2,14,4,6
2022009,856,8,5,6,19,9,3
2022010,648,6,4,8,18,8,4
2022011,073,0,7,3,10,0,7
2022012,505,5,0,5,10,0,5
2022013,086,0,8,6,14,4,8
2022014,788,7,8,8,23,3,1
2022015,993,9,9,3,21,1,6
2022016,947,9,4,7,20,0,5
2022017,515,5,1,5,11,1,4
2022018,729,7,2,9,18,8,7
2022019,855,8,5,5,18,8,3
2022020,515,5,1,5,11,1,4
2022021,492,4,9,2,15,5,7
2022022,974,9,7,4,20,0,5
2022023,489,4,8,9,21,1,5
2022024,503,5,0,3,8,8,5
2022025,974,9,7,4,20,0,5
2022026,618,6,1,8,15,5,7
2022027,924,9,2,4,15,5,7
2022028,961,9,6,1,16,6,8
2022029,134,1,3,4,8,8,3
2022030,460,4,6,0,10,0,6
2022031,605,6,0,5,11,1,6
2022032,703,7,0,3,10,0,7
2022033,358,3,5,8,16,6,5
2022034,922,9,2,2,13,3,7
2022035,402,4,0,2,6,6,4
2022036,087,0,8,7,15,5,8
2022037,341,3,4,1,8,8,3
2022038,393,3,9,3,15,5,6
2022039,475,4,7,5,16,6,3
2022040,591,5,9,1,15,5,8
2022041,533,5,3,3,11,1,2
2022042,500,5,0,0,5,5,5
2022043,096,0,9,6,15,5,9
2022044,538,5,3,8,16,6,5
2022045,429,4,2,9,15,5,7
2022046,387,3,8,7,18,8,5
2022047,815,8,1,5,14,4,7
2022048,712,7,1,2,10,0,6
2022049,487,4,8,7,19,9,4
2022050,070,0,7,0,7,7,7
2022051,846,8,4,6,18,8,4
2022052,466,4,6,6,16,6,2
2022053,566,5,6,6,17,7,1
2022054,269,2,6,9,17,7,7
2022055,277,2,7,7,16,6,5
2022056,099,0,9,9,18,8,9
2022057,147,1,4,7,12,2,6
2022058,047,0,4,7,11,1,7
2022059,592,5,9,2,16,6,7
2022060,210,2,1,0,3,3,2
2022061,353,3,5,3,11,1,2
2022062,892,8,9,2,19,9,7
2022063,773,7,7,3,17,7,4
2022064,615,6,1,5,12,2,5
2022065,994,9,9,4,22,2,5
2022066,408,4,0,8,12,2,8
2022067,013,0,1,3,4,4,3
2022068,717,7,1,7,15,5,6
2022069,586,5,8,6,19,9,3
2022070,702,7,0,2,9,9,7
2022071,371,3,7,1,11,1,6
2022072,683,6,8,3,17,7,5
2022073,200,2,0,0,2,2,2
2022074,089,0,8,9,17,7,9
2022075,761,7,6,1,14,4,6
2022076,171,1,7,1,9,9,6
2022077,918,9,1,8,18,8,8
2022078,352,3,5,2,10,0,3
2022079,854,8,5,4,17,7,4
2022080,450,4,5,0,9,9,5
2022081,168,1,6,8,15,5,7
2022082,678,6,7,8,21,1,2
2022083,328,3,2,8,13,3,6
2022084,946,9,4,6,19,9,5
2022085,279,2,7,9,18,8,7
2022086,935,9,3,5,17,7,6
2022087,133,1,3,3,7,7,2
2022088,907,9,0,7,16,6,9
2022089,844,8,4,4,16,6,4
2022090,579,5,7,9,21,1,4
2022091,809,8,0,9,17,7,9
2022092,818,8,1,8,17,7,7
2022093,958,9,5,8,22,2,4
2022094,488,4,8,8,20,0,4
2022095,140,1,4,0,5,5,4
2022096,824,8,2,4,14,4,6
2022097,096,0,9,6,15,5,9
2022098,915,9,1,5,15,5,8
2022099,464,4,6,4,14,4,2
2022100,444,4,4,4,12,2,0
2022101,124,1,2,4,7,7,3
2022102,345,3,4,5,12,2,2
2022103,046,0,4,6,10,0,6
2022104,083,0,8,3,11,1,8
2022105,642,6,4,2,12,2,4
2022106,625,6,2,5,13,3,4
2022107,064,0,6,4,10,0,6
2022108,415,4,1,5,10,0,4
2022109,092,0,9,2,11,1,9
2022110,893,8,9,3,20,0,6
2022111,956,9,5,6,20,0,4
2022112,762,7,6,2,15,5,5
2022113,653,6,5,3,14,4,3
2022114,997,9,9,7,25,5,2
2022115,836,8,3,6,17,7,5
2022116,707,7,0,7,14,4,7
2022117,457,4,5,7,16,6,3
2022118,470,4,7,0,11,1,7
2022119,046,0,4,6,10,0,6
2022120,939,9,3,9,21,1,6
2022121,621,6,2,1,9,9,5
2022122,357,3,5,7,15,5,4
2022123,154,1,5,4,10,0,4
2022124,224,2,2,4,8,8,2
2022125,264,2,6,4,12,2,4
2022126,259,2,5,9,16,6,7
2022127,117,1,1,7,9,9,6
2022128,843,8,4,3,15,5,5
2022129,005,0,0,5,5,5,5
2022130,395,3,9,5,17,7,6
2022131,266,2,6,6,14,4,4
2022132,782,7,8,2,17,7,6
2022133,654,6,5,4,15,5,2
2022134,229,2,2,9,13,3,7
2022135,048,0,4,8,12,2,8
2022136,656,6,5,6,17,7,1
2022137,244,2,4,4,10,0,2
2022138,426,4,2,6,12,2,4
2022139,136,1,3,6,10,0,5
2022140,277,2,7,7,16,6,5
2022141,755,7,5,5,17,7,2
2022142,563,5,6,3,14,4,3
2022143,158,1,5,8,14,4,7
2022144,016,0,1,6,7,7,6
2022145,728,7,2,8,17,7,6
2022146,194,1,9,4,14,4,8
2022147,196,1,9,6,16,6,8
2022148,408,4,0,8,12,2,8
2022149,464,4,6,4,14,4,2
