issue,prize,hundred,ten,unit,sum,tail,gap
2020001,202,2,0,2,4,4,2
2020002,161,1,6,1,8,8,5
2020003,893,8,9,3,20,0,6
2020004,498,4,9,8,21,1,5
2020005,569,5,6,9,20,0,4
2020006,083,0,8,3,11,1,8
2020007,309,3,0,9,12,2,9
2020008,188,1,8,8,17,7,7
2020009,208,2,0,8,10,0,8
2020010,011,0,1,1,2,2,1
2020011,459,4,5,9,18,8,5
2020012,313,3,1,3,7,7,2
2020013,081,0,8,1,9,9,8
2020014,161,1,6,1,8,8,5
2020015,322,3,2,2,7,7,1
2020016,402,4,0,2,6,6,4
2020017,728,7,2,8,17,7,6
2020018,585,5,8,5,18,8,3
2020019,973,9,7,3,19,9,6
2020020,166,1,6,6,13,3,5
2020021,964,9,6,4,19,9,5
2020022,634,6,3,4,13,3,3
2020023,061,0,6,1,7,7,6
2020024,614,6,1,4,11,1,5
2020025,424,4,2,4,10,0,2
2020026,705,7,0,5,12,2,7
2020027,239,2,3,9,14,4,7
2020028,513,5,1,3,9,9,4
2020029,395,3,9,5,17,7,6
2020030,719,7,1,9,17,7,8
2020031,937,9,3,7,19,9,6
2020032,688,6,8,8,22,2,2
2020033,767,7,6,7,20,0,1
2020034,473,4,7,3,14,4,4
2020035,328,3,2,8,13,3,6
2020036,301,3,0,1,4,4,3
2020037,120,1,2,0,3,3,2
2020038,739,7,3,9,19,9,6
2020039,846,8,4,6,18,8,4
2020040,389,3,8,9,20,0,6
2020041,705,7,0,5,12,2,7
2020042,274,2,7,4,13,3,5
2020043,070,0,7,0,7,7,7
2020044,120,1,2,0,3,3,2
2020045,031,0,3,1,4,4,3
2020046,324,3,2,4,9,9,2
2020047,809,8,0,9,17,7,9
2020048,854,8,5,4,17,7,4
2020049,710,7,1,0,8,8,7
2020050,593,5,9,3,17,7,6
2020051,753,7,5,3,15,5,4
2020052,223,2,2,3,7,7,1
2020053,588,5,8,8,21,1,3
2020054,087,0,8,7,15,5,8
2020055,659,6,5,9,20,0,4
2020056,578,5,7,8,20,0,3
2020057,057,0,5,7,12,2,7
2020058,228,2,2,8,12,2,6
2020059,019,0,1,9,10,0,9
2020060,490,4,9,0,13,3,9
2020061,152,1,5,2,8,8,4
2020062,318,3,1,8,12,2,7
2020063,531,5,3,1,9,9,4
2020064,352,3,5,2,10,0,3
2020065,199,1,9,9,19,9,8
2020066,262,2,6,2,10,0,4
2020067,477,4,7,7,18,8,3
2020068,410,4,1,0,5,5,4
2020069,788,7,8,8,23,3,1
2020070,804,8,0,4,12,2,8
2020071,384,3,8,4,15,5,5
2020072,790,7,9,0,16,6,9
2020073,669,6,6,9,21,1,3
2020074,224,2,2,4,8,8,2
2020075,585,5,8,5,18,8,3
2020076,864,8,6,4,18,8,4
2020077,213,2,1,3,6,6,2
2020078,356,3,5,6,14,4,3
2020079,103,1,0,3,4,4,3
2020080,384,3,8,4,15,5,5
2020081,262,2,6,2,10,0,4
2020082,889,8,8,9,25,5,1
2020083,096,0,9,6,15,5,9
2020084,567,5,6,7,18,8,2
2020085,835,8,3,5,16,6,5
2020086,972,9,7,2,18,8,7
2020087,343,3,4,3,10,0,1
2020088,551,5,5,1,11,1,4
2020089,087,0,8,7,15,5,8
2020090,559,5,5,9,19,9,4
2020091,599,5,9,9,23,3,4
2020092,616,6,1,6,13,3,5
2020093,730,7,3,0,10,0,7
2020094,328,3,2,8,13,3,6
2020095,425,4,2,5,11,1,3
2020096,718,7,1,8,16,6,7
2020097,935,9,3,5,17,7,6
2020098,449,4,4,9,17,7,5
2020099,798,7,9,8,24,4,2
2020100,064,0,6,4,10,0,6
2020101,267,2,6,7,15,5,5
2020102,877,8,7,7,22,2,1
2020103,904,9,0,4,13,3,9
2020104,295,2,9,5,16,6,7
2020105,598,5,9,8,22,2,4
2020106,440,4,4,0,8,8,4
2020107,198,1,9,8,18,8,8
2020108,267,2,6,7,15,5,5
2020109,317,3,1,7,11,1,6
2020110,282,2,8,2,12,2,6
2020111,675,6,7,5,18,8,2
2020112,421,4,2,1,7,7,3
2020113,075,0,7,5,12,2,7
2020114,065,0,6,5,11,1,6
2020115,552,5,5,2,12,2,3
2020116,934,9,3,4,16,6,6
2020117,834,8,3,4,15,5,5
2020118,204,2,0,4,6,6,4
2020119,160,1,6,0,7,7,6
2020120,242,2,4,2,8,8,2
2020121,718,7,1,8,16,6,7
2020122,639,6,3,9,18,8,6
2020123,248,2,4,8,14,4,6
2020124,629,6,2,9,17,7,7
2020125,660,6,6,0,12,2,6
2020126,494,4,9,4,17,7,5
2020127,325,3,2,5,10,0,3
2020128,086,0,8,6,14,4,8
2020129,011,0,1,1,2,2,1
2020130,968,9,6,8,23,3,3
2020131,358,3,5,8,16,6,5
2020132,879,8,7,9,24,4,2
2020133,077,0,7,7,14,4,7
2020134,753,7,5,3,15,5,4
2020135,603,6,0,3,9,9,6
2020136,552,5,5,2,12,2,3
2020137,102,1,0,2,3,3,2
2020138,004,0,0,4,4,4,4
2020139,956,9,5,6,20,0,4
2020140,515,5,1,5,11,1,4
2020141,833,8,3,3,14,4,5
2020142,713,7,1,3,11,1,6
2020143,854,8,5,4,17,7,4
2020144,610,6,1,0,7,7,6
2020145,846,8,4,6,18,8,4
2020146,880,8,8,0,16,6,8
2020147,079,0,7,9,16,6,9
2020148,964,9,6,4,19,9,5
2020149,334,3,3,4,10,0,1
2020150,373,3,7,3,13,3,4
2020151,800,8,0,0,8,8,8
2020152,698,6,9,8,23,3,3
2020153,066,0,6,6,12,2,6
2020154,810,8,1,0,9,9,8
2020155,012,0,1,2,3,3,2
2020156,098,0,9,8,17,7,9
2020157,764,7,6,4,17,7,3
2020158,266,2,6,6,14,4,4
2020159,481,4,8,1,13,3,7
2020160,920,9,2,0,11,1,9
2020161,704,7,0,4,11,1,7
2020162,628,6,2,8,16,6,6
2020163,230,2,3,0,5,5,3
2020164,484,4,8,4,16,6,4
2020165,059,0,5,9,14,4,9
2020166,343,3,4,3,10,0,1
2020167,841,8,4,1,13,3,7
2020168,786,7,8,6,21,1,2
2020169,122,1,2,2,5,5,1
2020170,650,6,5,0,11,1,6
2020171,243,2,4,3,9,9,2
2020172,603,6,0,3,9,9,6
2020173,317,3,1,7,11,1,6
2020174,294,2,9,4,15,5,7
2020175,944,9,4,4,17,7,5
2020176,962,9,6,2,17,7,7
2020177,481,4,8,1,13,3,7
2020178,337,3,3,7,13,3,4
