issue,prize,hundred,ten,unit,sum,tail,gap
2004001,928,9,2,8,19,9,7
2004002,173,1,7,3,11,1,6
2004003,183,1,8,3,12,2,7
2004004,432,4,3,2,9,9,2
2004005,541,5,4,1,10,0,4
2004006,262,2,6,2,10,0,4
2004007,307,3,0,7,10,0,7
2004008,226,2,2,6,10,0,4
2004009,418,4,1,8,13,3,7
2004010,274,2,7,4,13,3,5
2004011,364,3,6,4,13,3,3
2004012,305,3,0,5,8,8,5
2004013,032,0,3,2,5,5,3
2004014,359,3,5,9,17,7,6
2004015,598,5,9,8,22,2,4
2004016,445,4,4,5,13,3,1
2004017,193,1,9,3,13,3,8
2004018,129,1,2,9,12,2,8
2004019,711,7,1,1,9,9,6
2004020,109,1,0,9,10,0,9
2004021,393,3,9,3,15,5,6
2004022,591,5,9,1,15,5,8
2004023,871,8,7,1,16,6,7
2004024,886,8,8,6,22,2,2
2004025,618,6,1,8,15,5,7
2004026,621,6,2,1,9,9,5
2004027,363,3,6,3,12,2,3
2004028,075,0,7,5,12,2,7
2004029,256,2,5,6,13,3,4
2004030,120,1,2,0,3,3,2
2004031,362,3,6,2,11,1,4
2004032,378,3,7,8,18,8,5
2004033,505,5,0,5,10,0,5
2004034,995,9,9,5,23,3,4
2004035,374,3,7,4,14,4,4
2004036,009,0,0,9,9,9,9
2004037,325,3,2,5,10,0,3
2004038,425,4,2,5,11,1,3
2004039,802,8,0,2,10,0,8
2004040,566,5,6,6,17,7,1
2004041,814,8,1,4,13,3,7
2004042,780,7,8,0,15,5,8
2004043,704,7,0,4,11,1,7
2004044,382,3,8,2,13,3,6
