issue,prize,hundred,ten,unit,sum,tail,gap
2005001,054,0,5,4,9,9,5
2005002,366,3,6,6,15,5,3
2005003,431,4,3,1,8,8,3
2005004,674,6,7,4,17,7,3
2005005,299,2,9,9,20,0,7
2005006,420,4,2,0,6,6,4
2005007,435,4,3,5,12,2,2
2005008,281,2,8,1,11,1,7
2005009,869,8,6,9,23,3,3
2005010,416,4,1,6,11,1,5
2005011,204,2,0,4,6,6,4
2005012,196,1,9,6,16,6,8
2005013,613,6,1,3,10,0,5
2005014,085,0,8,5,13,3,8
2005015,367,3,6,7,16,6,4
2005016,665,6,6,5,17,7,1
2005017,665,6,6,5,17,7,1
2005018,055,0,5,5,10,0,5
2005019,574,5,7,4,16,6,3
2005020,922,9,2,2,13,3,7
2005021,001,0,0,1,1,1,1
2005022,938,9,3,8,20,0,6
2005023,312,3,1,2,6,6,2
2005024,312,3,1,2,6,6,2
2005025,755,7,5,5,17,7,2
2005026,277,2,7,7,16,6,5
2005027,014,0,1,4,5,5,4
2005028,862,8,6,2,16,6,6
2005029,628,6,2,8,16,6,6
2005030,459,4,5,9,18,8,5
2005031,504,5,0,4,9,9,5
2005032,361,3,6,1,10,0,5
2005033,590,5,9,0,14,4,9
2005034,186,1,8,6,15,5,7
2005035,830,8,3,0,11,1,8
2005036,942,9,4,2,15,5,7
2005037,708,7,0,8,15,5,8
2005038,319,3,1,9,13,3,8
2005039,028,0,2,8,10,0,8
2005040,047,0,4,7,11,1,7
2005041,133,1,3,3,7,7,2
2005042,234,2,3,4,9,9,2
2005043,845,8,4,5,17,7,4
2005044,955,9,5,5,19,9,4
2005045,400,4,0,0,4,4,4
2005046,545,5,4,5,14,4,1
2005047,429,4,2,9,15,5,7
2005048,761,7,6,1,14,4,6
2005049,790,7,9,0,16,6,9
2005050,104,1,0,4,5,5,4
2005051,247,2,4,7,13,3,5
2005052,306,3,0,6,9,9,6
2005053,175,1,7,5,13,3,6
2005054,519,5,1,9,15,5,8
2005055,014,0,1,4,5,5,4
2005056,600,6,0,0,6,6,6
2005057,813,8,1,3,12,2,7
2005058,353,3,5,3,11,1,2
2005059,983,9,8,3,20,0,6
2005060,960,9,6,0,15,5,9
2005061,912,9,1,2,12,2,8
2005062,796,7,9,6,22,2,3
2005063,181,1,8,1,10,0,7
2005064,969,9,6,9,24,4,3
2005065,895,8,9,5,22,2,4
2005066,626,6,2,6,14,4,4
2005067,169,1,6,9,16,6,8
2005068,903,9,0,3,12,2,9
2005069,743,7,4,3,14,4,4
2005070,984,9,8,4,21,1,5
2005071,917,9,1,7,17,7,8
2005072,256,2,5,6,13,3,4
2005073,232,2,3,2,7,7,1
2005074,006,0,0,6,6,6,6
2005075,700,7,0,0,7,7,7
2005076,418,4,1,8,13,3,7
2005077,648,6,4,8,18,8,4
2005078,842,8,4,2,14,4,6
2005079,959,9,5,9,23,3,4
2005080,495,4,9,5,18,8,5
2005081,250,2,5,0,7,7,5
2005082,216,2,1,6,9,9,5
2005083,702,7,0,2,9,9,7
2005084,277,2,7,7,16,6,5
2005085,942,9,4,2,15,5,7
2005086,635,6,3,5,14,4,3
2005087,155,1,5,5,11,1,4
2005088,144,1,4,4,9,9,3
2005089,091,0,9,1,10,0,9
2005090,065,0,6,5,11,1,6
2005091,102,1,0,2,3,3,2
2005092,299,2,9,9,20,0,7
2005093,861,8,6,1,15,5,7
2005094,112,1,1,2,4,4,1
2005095,061,0,6,1,7,7,6
2005096,935,9,3,5,17,7,6
2005097,085,0,8,5,13,3,8
2005098,670,6,7,0,13,3,7
2005099,695,6,9,5,20,0,4
2005100,127,1,2,7,10,0,6
2005101,320,3,2,0,5,5,3
2005102,431,4,3,1,8,8,3
2005103,873,8,7,3,18,8,5
2005104,681,6,8,1,15,5,7
2005105,363,3,6,3,12,2,3
2005106,540,5,4,0,9,9,5
2005107,838,8,3,8,19,9,5
2005108,384,3,8,4,15,5,5
2005109,610,6,1,0,7,7,6
2005110,417,4,1,7,12,2,6
2005111,061,0,6,1,7,7,6
2005112,298,2,9,8,19,9,7
2005113,005,0,0,5,5,5,5
2005114,892,8,9,2,19,9,7
2005115,626,6,2,6,14,4,4
2005116,569,5,6,9,20,0,4
2005117,992,9,9,2,20,0,7
2005118,593,5,9,3,17,7,6
2005119,111,1,1,1,3,3,0
2005120,162,1,6,2,9,9,5
2005121,729,7,2,9,18,8,7
2005122,542,5,4,2,11,1,3
2005123,974,9,7,4,20,0,5
2005124,219,2,1,9,12,2,8
2005125,508,5,0,8,13,3,8
2005126,534,5,3,4,12,2,2
2005127,445,4,4,5,13,3,1
2005128,162,1,6,2,9,9,5
2005129,707,7,0,7,14,4,7
2005130,546,5,4,6,15,5,2
2005131,663,6,6,3,15,5,3
2005132,836,8,3,6,17,7,5
2005133,759,7,5,9,21,1,4
2005134,704,7,0,4,11,1,7
2005135,745,7,4,5,16,6,3
2005136,928,9,2,8,19,9,7
