issue,prize,hundred,ten,unit,sum,tail,gap
2015001,397,3,9,7,19,9,6
2015002,749,7,4,9,20,0,5
2015003,524,5,2,4,11,1,3
2015004,142,1,4,2,7,7,3
2015005,693,6,9,3,18,8,6
2015006,947,9,4,7,20,0,5
2015007,039,0,3,9,12,2,9
2015008,613,6,1,3,10,0,5
2015009,574,5,7,4,16,6,3
2015010,862,8,6,2,16,6,6
2015011,318,3,1,8,12,2,7
2015012,864,8,6,4,18,8,4
2015013,412,4,1,2,7,7,3
2015014,403,4,0,3,7,7,4
2015015,845,8,4,5,17,7,4
2015016,290,2,9,0,11,1,9
2015017,880,8,8,0,16,6,8
2015018,831,8,3,1,12,2,7
2015019,914,9,1,4,14,4,8
2015020,216,2,1,6,9,9,5
2015021,339,3,3,9,15,5,6
2015022,758,7,5,8,20,0,3
2015023,496,4,9,6,19,9,5
2015024,606,6,0,6,12,2,6
2015025,381,3,8,1,12,2,7
2015026,833,8,3,3,14,4,5
2015027,281,2,8,1,11,1,7
2015028,357,3,5,7,15,5,4
2015029,927,9,2,7,18,8,7
2015030,820,8,2,0,10,0,8
2015031,524,5,2,4,11,1,3
2015032,413,4,1,3,8,8,3
2015033,986,9,8,6,23,3,3
2015034,049,0,4,9,13,3,9
2015035,674,6,7,4,17,7,3
2015036,871,8,7,1,16,6,7
2015037,151,1,5,1,7,7,4
2015038,922,9,2,2,13,3,7
2015039,548,5,4,8,17,7,4
2015040,466,4,6,6,16,6,2
2015041,538,5,3,8,16,6,5
2015042,232,2,3,2,7,7,1
2015043,751,7,5,1,13,3,6
2015044,725,7,2,5,14,4,5
2015045,577,5,7,7,19,9,2
2015046,305,3,0,5,8,8,5
2015047,800,8,0,0,8,8,8
2015048,085,0,8,5,13,3,8
2015049,251,2,5,1,8,8,4
2015050,039,0,3,9,12,2,9
2015051,951,9,5,1,15,5,8
2015052,598,5,9,8,22,2,4
2015053,747,7,4,7,18,8,3
2015054,063,0,6,3,9,9,6
2015055,969,9,6,9,24,4,3
2015056,813,8,1,3,12,2,7
2015057,779,7,7,9,23,3,2
2015058,889,8,8,9,25,5,1
2015059,024,0,2,4,6,6,4
2015060,447,4,4,7,15,5,3
2015061,918,9,1,8,18,8,8
2015062,068,0,6,8,14,4,8
2015063,138,1,3,8,12,2,7
2015064,527,5,2,7,14,4,5
2015065,696,6,9,6,21,1,3
2015066,208,2,0,8,10,0,8
2015067,718,7,1,8,16,6,7
2015068,559,5,5,9,19,9,4
2015069,986,9,8,6,23,3,3
2015070,418,4,1,8,13,3,7
2015071,759,7,5,9,21,1,4
2015072,793,7,9,3,19,9,6
2015073,942,9,4,2,15,5,7
2015074,441,4,4,1,9,9,3
2015075,423,4,2,3,9,9,2
2015076,937,9,3,7,19,9,6
2015077,965,9,6,5,20,0,4
2015078,114,1,1,4,6,6,3
2015079,528,5,2,8,15,5,6
2015080,320,3,2,0,5,5,3
2015081,603,6,0,3,9,9,6
2015082,255,2,5,5,12,2,3
2015083,013,0,1,3,4,4,3
2015084,941,9,4,1,14,4,8
2015085,416,4,1,6,11,1,5
2015086,930,9,3,0,12,2,9
2015087,013,0,1,3,4,4,3
2015088,108,1,0,8,9,9,8
2015089,654,6,5,4,15,5,2
2015090,684,6,8,4,18,8,4
2015091,795,7,9,5,21,1,4
2015092,703,7,0,3,10,0,7
2015093,602,6,0,2,8,8,6
2015094,546,5,4,6,15,5,2
2015095,237,2,3,7,12,2,5
2015096,218,2,1,8,11,1,7
2015097,688,6,8,8,22,2,2
2015098,413,4,1,3,8,8,3
2015099,771,7,7,1,15,5,6
2015100,536,5,3,6,14,4,3
2015101,633,6,3,3,12,2,3
2015102,395,3,9,5,17,7,6
2015103,499,4,9,9,22,2,5
2015104,986,9,8,6,23,3,3
2015105,700,7,0,0,7,7,7
2015106,688,6,8,8,22,2,2
2015107,710,7,1,0,8,8,7
2015108,865,8,6,5,19,9,3
2015109,649,6,4,9,19,9,5
2015110,824,8,2,4,14,4,6
2015111,972,9,7,2,18,8,7
2015112,971,9,7,1,17,7,8
2015113,777,7,7,7,21,1,0
2015114,310,3,1,0,4,4,3
2015115,623,6,2,3,11,1,4
2015116,768,7,6,8,21,1,2
2015117,760,7,6,0,13,3,7
2015118,273,2,7,3,12,2,5
2015119,614,6,1,4,11,1,5
2015120,874,8,7,4,19,9,4
2015121,640,6,4,0,10,0,6
2015122,675,6,7,5,18,8,2
2015123,590,5,9,0,14,4,9
2015124,513,5,1,3,9,9,4
2015125,544,5,4,4,13,3,1
2015126,211,2,1,1,4,4,1
2015127,081,0,8,1,9,9,8
2015128,892,8,9,2,19,9,7
2015129,232,2,3,2,7,7,1
2015130,512,5,1,2,8,8,4
2015131,774,7,7,4,18,8,3
2015132,393,3,9,3,15,5,6
2015133,956,9,5,6,20,0,4
2015134,156,1,5,6,12,2,5
