issue,prize,hundred,ten,unit,sum,tail,gap
2024001,403,4,0,3,7,7,4
2024002,544,5,4,4,13,3,1
2024003,666,6,6,6,18,8,0
2024004,665,6,6,5,17,7,1
2024005,259,2,5,9,16,6,7
2024006,284,2,8,4,14,4,6
2024007,888,8,8,8,24,4,0
2024008,405,4,0,5,9,9,5
2024009,815,8,1,5,14,4,7
2024010,281,2,8,1,11,1,7
2024011,080,0,8,0,8,8,8
2024012,081,0,8,1,9,9,8
2024013,985,9,8,5,22,2,4
2024014,187,1,8,7,16,6,7
2024015,475,4,7,5,16,6,3
2024016,702,7,0,2,9,9,7
2024017,555,5,5,5,15,5,0
2024018,859,8,5,9,22,2,4
2024019,313,3,1,3,7,7,2
2024020,406,4,0,6,10,0,6
2024021,370,3,7,0,10,0,7
2024022,124,1,2,4,7,7,3
2024023,793,7,9,3,19,9,6
2024024,199,1,9,9,19,9,8
2024025,314,3,1,4,8,8,3
2024026,751,7,5,1,13,3,6
2024027,502,5,0,2,7,7,5
2024028,259,2,5,9,16,6,7
2024029,575,5,7,5,17,7,2
2024030,951,9,5,1,15,5,8
2024031,682,6,8,2,16,6,6
2024032,805,8,0,5,13,3,8
2024033,739,7,3,9,19,9,6
2024034,017,0,1,7,8,8,7
2024035,306,3,0,6,9,9,6
2024036,547,5,4,7,16,6,3
2024037,910,9,1,0,10,0,9
2024038,529,5,2,9,16,6,7
2024039,508,5,0,8,13,3,8
2024040,514,5,1,4,10,0,4
2024041,905,9,0,5,14,4,9
2024042,342,3,4,2,9,9,2
2024043,296,2,9,6,17,7,7
2024044,885,8,8,5,21,1,3
2024045,757,7,5,7,19,9,2
2024046,702,7,0,2,9,9,7
2024047,760,7,6,0,13,3,7
2024048,396,3,9,6,18,8,6
2024049,631,6,3,1,10,0,5
2024050,495,4,9,5,18,8,5
2024051,674,6,7,4,17,7,3
2024052,995,9,9,5,23,3,4
2024053,958,9,5,8,22,2,4
2024054,221,2,2,1,5,5,1
2024055,173,1,7,3,11,1,6
2024056,788,7,8,8,23,3,1
2024057,765,7,6,5,18,8,2
2024058,065,0,6,5,11,1,6
2024059,629,6,2,9,17,7,7
2024060,357,3,5,7,15,5,4
2024061,250,2,5,0,7,7,5
2024062,784,7,8,4,19,9,4
2024063,651,6,5,1,12,2,5
2024064,132,1,3,2,6,6,2
2024065,903,9,0,3,12,2,9
2024066,803,8,0,3,11,1,8
2024067,549,5,4,9,18,8,5
2024068,239,2,3,9,14,4,7
2024069,411,4,1,1,6,6,3
2024070,891,8,9,1,18,8,8
2024071,258,2,5,8,15,5,6
2024072,341,3,4,1,8,8,3
2024073,590,5,9,0,14,4,9
2024074,629,6,2,9,17,7,7
2024075,285,2,8,5,15,5,6
2024076,968,9,6,8,23,3,3
2024077,626,6,2,6,14,4,4
2024078,126,1,2,6,9,9,5
2024079,889,8,8,9,25,5,1
2024080,012,0,1,2,3,3,2
2024081,928,9,2,8,19,9,7
2024082,571,5,7,1,13,3,6
2024083,232,2,3,2,7,7,1
2024084,549,5,4,9,18,8,5
2024085,493,4,9,3,16,6,6
2024086,278,2,7,8,17,7,6
2024087,161,1,6,1,8,8,5
2024088,819,8,1,9,18,8,8
2024089,117,1,1,7,9,9,6
2024090,206,2,0,6,8,8,6
2024091,196,1,9,6,16,6,8
2024092,150,1,5,0,6,6,5
2024093,935,9,3,5,17,7,6
2024094,271,2,7,1,10,0,6
2024095,175,1,7,5,13,3,6
2024096,463,4,6,3,13,3,3
2024097,863,8,6,3,17,7,5
2024098,247,2,4,7,13,3,5
2024099,102,1,0,2,3,3,2
2024100,157,1,5,7,13,3,6
2024101,030,0,3,0,3,3,3
2024102,215,2,1,5,8,8,4
2024103,551,5,5,1,11,1,4
2024104,474,4,7,4,15,5,3
2024105,210,2,1,0,3,3,2
2024106,533,5,3,3,11,1,2
2024107,499,4,9,9,22,2,5
2024108,252,2,5,2,9,9,3
2024109,243,2,4,3,9,9,2
2024110,629,6,2,9,17,7,7
2024111,336,3,3,6,12,2,3
2024112,218,2,1,8,11,1,7
2024113,345,3,4,5,12,2,2
2024114,548,5,4,8,17,7,4
2024115,620,6,2,0,8,8,6
2024116,348,3,4,8,15,5,5
2024117,185,1,8,5,14,4,7
2024118,733,7,3,3,13,3,4
2024119,255,2,5,5,12,2,3
2024120,529,5,2,9,16,6,7
2024121,518,5,1,8,14,4,7
2024122,246,2,4,6,12,2,4
2024123,538,5,3,8,16,6,5
2024124,835,8,3,5,16,6,5
2024125,706,7,0,6,13,3,7
2024126,379,3,7,9,19,9,6
2024127,744,7,4,4,15,5,3
2024128,017,0,1,7,8,8,7
2024129,278,2,7,8,17,7,6
2024130,122,1,2,2,5,5,1
2024131,571,5,7,1,13,3,6
2024132,604,6,0,4,10,0,6
2024133,281,2,8,1,11,1,7
2024134,660,6,6,0,12,2,6
2024135,891,8,9,1,18,8,8
2024136,062,0,6,2,8,8,6
2024137,128,1,2,8,11,1,7
2024138,997,9,9,7,25,5,2
2024139,536,5,3,6,14,4,3
2024140,520,5,2,0,7,7,5
