issue,prize,hundred,ten,unit
2017001,092,0,9,2
2017002,758,7,5,8
2017003,374,3,7,4
2017004,616,6,1,6
2017005,342,3,4,2
2017006,426,4,2,6
2017007,692,6,9,2
2017008,597,5,9,7
2017009,317,3,1,7
2017010,261,2,6,1
2017011,486,4,8,6
2017012,059,0,5,9
2017013,039,0,3,9
2017014,428,4,2,8
2017015,686,6,8,6
2017016,796,7,9,6
2017017,897,8,9,7
2017018,397,3,9,7
2017019,844,8,4,4
2017020,526,5,2,6
2017021,874,8,7,4
2017022,677,6,7,7
2017023,237,2,3,7
2017024,043,0,4,3
2017025,277,2,7,7
2017026,081,0,8,1
2017027,325,3,2,5
2017028,955,9,5,5
2017029,804,8,0,4
2017030,896,8,9,6
2017031,502,5,0,2
2017032,738,7,3,8
2017033,785,7,8,5
2017034,895,8,9,5
2017035,890,8,9,0
2017036,472,4,7,2
2017037,380,3,8,0
2017038,823,8,2,3
2017039,598,5,9,8
2017040,395,3,9,5
2017041,982,9,8,2
2017042,149,1,4,9
2017043,508,5,0,8
2017044,138,1,3,8
2017045,735,7,3,5
2017046,887,8,8,7
2017047,283,2,8,3
2017048,164,1,6,4
2017049,665,6,6,5
2017050,307,3,0,7
2017051,444,4,4,4
2017052,159,1,5,9
2017053,921,9,2,1
2017054,702,7,0,2
2017055,366,3,6,6
2017056,232,2,3,2
2017057,921,9,2,1
2017058,730,7,3,0
2017059,662,6,6,2
2017060,546,5,4,6
2017061,198,1,9,8
2017062,887,8,8,7
2017063,768,7,6,8
2017064,165,1,6,5
2017065,552,5,5,2
2017066,848,8,4,8
2017067,382,3,8,2
2017068,217,2,1,7
2017069,946,9,4,6
2017070,333,3,3,3
2017071,842,8,4,2
2017072,948,9,4,8
2017073,031,0,3,1
2017074,656,6,5,6
2017075,900,9,0,0
2017076,389,3,8,9
2017077,634,6,3,4
2017078,633,6,3,3
2017079,485,4,8,5
2017080,188,1,8,8
2017081,210,2,1,0
2017082,553,5,5,3
2017083,564,5,6,4
2017084,836,8,3,6
2017085,722,7,2,2
2017086,944,9,4,4
2017087,237,2,3,7
2017088,561,5,6,1
2017089,389,3,8,9
2017090,283,2,8,3
2017091,676,6,7,6
2017092,759,7,5,9
2017093,580,5,8,0
2017094,098,0,9,8
2017095,323,3,2,3
2017096,809,8,0,9
2017097,806,8,0,6
2017098,228,2,2,8
2017099,996,9,9,6
2017100,813,8,1,3
2017101,390,3,9,0
2017102,059,0,5,9
2017103,044,0,4,4
2017104,782,7,8,2
2017105,846,8,4,6
2017106,402,4,0,2
2017107,951,9,5,1
2017108,727,7,2,7
2017109,030,0,3,0
2017110,815,8,1,5
2017111,658,6,5,8
2017112,686,6,8,6
2017113,157,1,5,7
2017114,681,6,8,1
2017115,567,5,6,7
2017116,213,2,1,3
2017117,299,2,9,9
2017118,499,4,9,9
2017119,522,5,2,2
2017120,458,4,5,8
2017121,054,0,5,4
2017122,486,4,8,6
2017123,492,4,9,2
2017124,081,0,8,1
2017125,255,2,5,5
2017126,258,2,5,8
2017127,739,7,3,9
2017128,452,4,5,2
2017129,365,3,6,5
2017130,589,5,8,9
2017131,919,9,1,9
2017132,305,3,0,5
2017133,166,1,6,6
2017134,697,6,9,7
2017135,525,5,2,5
2017136,510,5,1,0
2017137,122,1,2,2
2017138,020,0,2,0
2017139,360,3,6,0
2017140,204,2,0,4
2017141,604,6,0,4
2017142,013,0,1,3
2017143,177,1,7,7
2017144,239,2,3,9
2017145,591,5,9,1
2017146,942,9,4,2
2017147,331,3,3,1
2017148,152,1,5,2
2017149,987,9,8,7
2017150,529,5,2,9
2017151,078,0,7,8
2017152,802,8,0,2
2017153,885,8,8,5
2017154,215,2,1,5
2017155,004,0,0,4
2017156,007,0,0,7
2017157,818,8,1,8
2017158,083,0,8,3
2017159,123,1,2,3
2017160,946,9,4,6
2017161,830,8,3,0
2017162,814,8,1,4
2017163,759,7,5,9
2017164,447,4,4,7
2017165,330,3,3,0
2017166,644,6,4,4
2017167,795,7,9,5
2017168,175,1,7,5
2017169,644,6,4,4
2017170,544,5,4,4
2017171,190,1,9,0
2017172,496,4,9,6
2017173,712,7,1,2
2017174,960,9,6,0
2017175,376,3,7,6
2017176,602,6,0,2
2017177,670,6,7,0
2017178,303,3,0,3
2017179,066,0,6,6
2017180,586,5,8,6
2017181,484,4,8,4
2017182,975,9,7,5
2017183,409,4,0,9
2017184,129,1,2,9
2017185,370,3,7,0
2017186,967,9,6,7
2017187,831,8,3,1
2017188,209,2,0,9
2017189,960,9,6,0
2017190,446,4,4,6
2017191,978,9,7,8
2017192,279,2,7,9
2017193,880,8,8,0
2017194,625,6,2,5
2017195,319,3,1,9
2017196,436,4,3,6
2017197,594,5,9,4
2017198,754,7,5,4
2017199,330,3,3,0
2017200,935,9,3,5
2017201,445,4,4,5
2017202,461,4,6,1
2017203,243,2,4,3
2017204,232,2,3,2
2017205,649,6,4,9
2017206,375,3,7,5
2017207,697,6,9,7
2017208,108,1,0,8
2017209,391,3,9,1
2017210,911,9,1,1
2017211,116,1,1,6
2017212,002,0,0,2
2017213,727,7,2,7
2017214,423,4,2,3
2017215,212,2,1,2
2017216,871,8,7,1
2017217,796,7,9,6
2017218,573,5,7,3
2017219,493,4,9,3
