issue,prize,hundred,ten,unit,sum,tail,gap
2014001,963,9,6,3,18,8,6
2014002,375,3,7,5,15,5,4
2014003,612,6,1,2,9,9,5
2014004,929,9,2,9,20,0,7
2014005,121,1,2,1,4,4,1
2014006,344,3,4,4,11,1,1
2014007,424,4,2,4,10,0,2
2014008,134,1,3,4,8,8,3
2014009,618,6,1,8,15,5,7
2014010,416,4,1,6,11,1,5
2014011,537,5,3,7,15,5,4
2014012,902,9,0,2,11,1,9
2014013,600,6,0,0,6,6,6
2014014,535,5,3,5,13,3,2
2014015,175,1,7,5,13,3,6
2014016,982,9,8,2,19,9,7
2014017,071,0,7,1,8,8,7
2014018,021,0,2,1,3,3,2
2014019,430,4,3,0,7,7,4
2014020,182,1,8,2,11,1,7
2014021,354,3,5,4,12,2,2
2014022,603,6,0,3,9,9,6
2014023,649,6,4,9,19,9,5
2014024,224,2,2,4,8,8,2
2014025,207,2,0,7,9,9,7
2014026,107,1,0,7,8,8,7
2014027,727,7,2,7,16,6,5
2014028,440,4,4,0,8,8,4
2014029,605,6,0,5,11,1,6
2014030,405,4,0,5,9,9,5
2014031,891,8,9,1,18,8,8
2014032,266,2,6,6,14,4,4
2014033,949,9,4,9,22,2,5
2014034,518,5,1,8,14,4,7
2014035,467,4,6,7,17,7,3
2014036,104,1,0,4,5,5,4
2014037,185,1,8,5,14,4,7
2014038,291,2,9,1,12,2,8
2014039,922,9,2,2,13,3,7
2014040,901,9,0,1,10,0,9
2014041,725,7,2,5,14,4,5
2014042,363,3,6,3,12,2,3
2014043,501,5,0,1,6,6,5
2014044,354,3,5,4,12,2,2
2014045,747,7,4,7,18,8,3
2014046,584,5,8,4,17,7,4
2014047,898,8,9,8,25,5,1
2014048,861,8,6,1,15,5,7
2014049,908,9,0,8,17,7,9
2014050,424,4,2,4,10,0,2
2014051,536,5,3,6,14,4,3
2014052,032,0,3,2,5,5,3
2014053,812,8,1,2,11,1,7
2014054,725,7,2,5,14,4,5
2014055,807,8,0,7,15,5,8
2014056,678,6,7,8,21,1,2
2014057,501,5,0,1,6,6,5
2014058,322,3,2,2,7,7,1
2014059,429,4,2,9,15,5,7
2014060,932,9,3,2,14,4,7
2014061,225,2,2,5,9,9,3
2014062,382,3,8,2,13,3,6
2014063,478,4,7,8,19,9,4
2014064,218,2,1,8,11,1,7
2014065,290,2,9,0,11,1,9
2014066,003,0,0,3,3,3,3
2014067,318,3,1,8,12,2,7
2014068,102,1,0,2,3,3,2
2014069,064,0,6,4,10,0,6
2014070,119,1,1,9,11,1,8
2014071,292,2,9,2,13,3,7
2014072,488,4,8,8,20,0,4
2014073,042,0,4,2,6,6,4
2014074,500,5,0,0,5,5,5
2014075,414,4,1,4,9,9,3
2014076,382,3,8,2,13,3,6
2014077,747,7,4,7,18,8,3
2014078,467,4,6,7,17,7,3
2014079,794,7,9,4,20,0,5
2014080,587,5,8,7,20,0,3
2014081,206,2,0,6,8,8,6
2014082,324,3,2,4,9,9,2
2014083,093,0,9,3,12,2,9
2014084,987,9,8,7,24,4,2
2014085,243,2,4,3,9,9,2
2014086,795,7,9,5,21,1,4
2014087,844,8,4,4,16,6,4
2014088,571,5,7,1,13,3,6
2014089,660,6,6,0,12,2,6
2014090,838,8,3,8,19,9,5
2014091,496,4,9,6,19,9,5
2014092,508,5,0,8,13,3,8
2014093,196,1,9,6,16,6,8
2014094,189,1,8,9,18,8,8
2014095,775,7,7,5,19,9,2
2014096,216,2,1,6,9,9,5
2014097,774,7,7,4,18,8,3
2014098,139,1,3,9,13,3,8
2014099,464,4,6,4,14,4,2
2014100,269,2,6,9,17,7,7
2014101,109,1,0,9,10,0,9
2014102,750,7,5,0,12,2,7
2014103,832,8,3,2,13,3,6
2014104,576,5,7,6,18,8,2
2014105,490,4,9,0,13,3,9
2014106,082,0,8,2,10,0,8
2014107,639,6,3,9,18,8,6
2014108,168,1,6,8,15,5,7
2014109,652,6,5,2,13,3,4
2014110,475,4,7,5,16,6,3
2014111,905,9,0,5,14,4,9
2014112,013,0,1,3,4,4,3
