issue,prize,hundred,ten,unit,sum,tail,gap
2011001,928,9,2,8,19,9,7
2011002,676,6,7,6,19,9,1
2011003,933,9,3,3,15,5,6
2011004,550,5,5,0,10,0,5
2011005,491,4,9,1,14,4,8
2011006,359,3,5,9,17,7,6
2011007,884,8,8,4,20,0,4
2011008,534,5,3,4,12,2,2
2011009,156,1,5,6,12,2,5
2011010,917,9,1,7,17,7,8
2011011,502,5,0,2,7,7,5
2011012,687,6,8,7,21,1,2
2011013,187,1,8,7,16,6,7
2011014,810,8,1,0,9,9,8
2011015,717,7,1,7,15,5,6
2011016,816,8,1,6,15,5,7
2011017,184,1,8,4,13,3,7
2011018,903,9,0,3,12,2,9
2011019,328,3,2,8,13,3,6
2011020,578,5,7,8,20,0,3
2011021,578,5,7,8,20,0,3
2011022,008,0,0,8,8,8,8
2011023,741,7,4,1,12,2,6
2011024,487,4,8,7,19,9,4
2011025,352,3,5,2,10,0,3
2011026,797,7,9,7,23,3,2
2011027,212,2,1,2,5,5,1
2011028,134,1,3,4,8,8,3
2011029,365,3,6,5,14,4,3
2011030,493,4,9,3,16,6,6
2011031,864,8,6,4,18,8,4
2011032,349,3,4,9,16,6,6
2011033,062,0,6,2,8,8,6
2011034,489,4,8,9,21,1,5
2011035,744,7,4,4,15,5,3
2011036,163,1,6,3,10,0,5
2011037,705,7,0,5,12,2,7
2011038,016,0,1,6,7,7,6
2011039,260,2,6,0,8,8,6
2011040,117,1,1,7,9,9,6
2011041,449,4,4,9,17,7,5
2011042,337,3,3,7,13,3,4
2011043,286,2,8,6,16,6,6
2011044,416,4,1,6,11,1,5
2011045,579,5,7,9,21,1,4
2011046,909,9,0,9,18,8,9
2011047,367,3,6,7,16,6,4
2011048,621,6,2,1,9,9,5
2011049,459,4,5,9,18,8,5
2011050,067,0,6,7,13,3,7
2011051,684,6,8,4,18,8,4
2011052,509,5,0,9,14,4,9
2011053,835,8,3,5,16,6,5
2011054,760,7,6,0,13,3,7
2011055,835,8,3,5,16,6,5
2011056,609,6,0,9,15,5,9
2011057,366,3,6,6,15,5,3
2011058,664,6,6,4,16,6,2
2011059,398,3,9,8,20,0,6
2011060,144,1,4,4,9,9,3
2011061,416,4,1,6,11,1,5
2011062,628,6,2,8,16,6,6
2011063,141,1,4,1,6,6,3
2011064,690,6,9,0,15,5,9
2011065,721,7,2,1,10,0,6
2011066,079,0,7,9,16,6,9
2011067,413,4,1,3,8,8,3
2011068,500,5,0,0,5,5,5
2011069,285,2,8,5,15,5,6
2011070,892,8,9,2,19,9,7
2011071,071,0,7,1,8,8,7
2011072,799,7,9,9,25,5,2
2011073,063,0,6,3,9,9,6
2011074,784,7,8,4,19,9,4
2011075,953,9,5,3,17,7,6
2011076,667,6,6,7,19,9,1
2011077,787,7,8,7,22,2,1
2011078,544,5,4,4,13,3,1
2011079,823,8,2,3,13,3,6
2011080,943,9,4,3,16,6,6
2011081,748,7,4,8,19,9,4
2011082,171,1,7,1,9,9,6
2011083,835,8,3,5,16,6,5
2011084,252,2,5,2,9,9,3
2011085,995,9,9,5,23,3,4
2011086,941,9,4,1,14,4,8
2011087,092,0,9,2,11,1,9
2011088,670,6,7,0,13,3,7
2011089,124,1,2,4,7,7,3
2011090,087,0,8,7,15,5,8
2011091,222,2,2,2,6,6,0
2011092,749,7,4,9,20,0,5
2011093,500,5,0,0,5,5,5
2011094,159,1,5,9,15,5,8
2011095,844,8,4,4,16,6,4
2011096,097,0,9,7,16,6,9
2011097,679,6,7,9,22,2,3
2011098,187,1,8,7,16,6,7
2011099,829,8,2,9,19,9,7
2011100,232,2,3,2,7,7,1
2011101,275,2,7,5,14,4,5
2011102,909,9,0,9,18,8,9
2011103,472,4,7,2,13,3,5
2011104,589,5,8,9,22,2,4
2011105,700,7,0,0,7,7,7
2011106,650,6,5,0,11,1,6
2011107,924,9,2,4,15,5,7
2011108,330,3,3,0,6,6,3
2011109,222,2,2,2,6,6,0
2011110,351,3,5,1,9,9,4
2011111,252,2,5,2,9,9,3
2011112,098,0,9,8,17,7,9
2011113,733,7,3,3,13,3,4
2011114,398,3,9,8,20,0,6
2011115,375,3,7,5,15,5,4
2011116,740,7,4,0,11,1,7
2011117,704,7,0,4,11,1,7
2011118,075,0,7,5,12,2,7
2011119,295,2,9,5,16,6,7
2011120,983,9,8,3,20,0,6
2011121,649,6,4,9,19,9,5
2011122,033,0,3,3,6,6,3
2011123,535,5,3,5,13,3,2
2011124,774,7,7,4,18,8,3
2011125,327,3,2,7,12,2,5
2011126,299,2,9,9,20,0,7
2011127,543,5,4,3,12,2,2
2011128,733,7,3,3,13,3,4
2011129,420,4,2,0,6,6,4
2011130,059,0,5,9,14,4,9
2011131,233,2,3,3,8,8,1
2011132,652,6,5,2,13,3,4
2011133,487,4,8,7,19,9,4
2011134,419,4,1,9,14,4,8
2011135,437,4,3,7,14,4,4
2011136,396,3,9,6,18,8,6
2011137,243,2,4,3,9,9,2
2011138,907,9,0,7,16,6,9
2011139,538,5,3,8,16,6,5
2011140,807,8,0,7,15,5,8
2011141,639,6,3,9,18,8,6
2011142,889,8,8,9,25,5,1
2011143,052,0,5,2,7,7,5
2011144,124,1,2,4,7,7,3
2011145,107,1,0,7,8,8,7
2011146,379,3,7,9,19,9,6
2011147,887,8,8,7,23,3,1
2011148,589,5,8,9,22,2,4
2011149,884,8,8,4,20,0,4
2011150,865,8,6,5,19,9,3
2011151,985,9,8,5,22,2,4
2011152,974,9,7,4,20,0,5
2011153,629,6,2,9,17,7,7
2011154,765,7,6,5,18,8,2
2011155,652,6,5,2,13,3,4
2011156,241,2,4,1,7,7,3
2011157,419,4,1,9,14,4,8
2011158,104,1,0,4,5,5,4
2011159,896,8,9,6,23,3,3
2011160,713,7,1,3,11,1,6
2011161,815,8,1,5,14,4,7
2011162,239,2,3,9,14,4,7
2011163,378,3,7,8,18,8,5
2011164,689,6,8,9,23,3,3
2011165,578,5,7,8,20,0,3
2011166,826,8,2,6,16,6,6
2011167,462,4,6,2,12,2,4
2011168,297,2,9,7,18,8,7
2011169,520,5,2,0,7,7,5
2011170,353,3,5,3,11,1,2
2011171,991,9,9,1,19,9,8
2011172,266,2,6,6,14,4,4
2011173,917,9,1,7,17,7,8
2011174,310,3,1,0,4,4,3
2011175,909,9,0,9,18,8,9
2011176,572,5,7,2,14,4,5
2011177,843,8,4,3,15,5,5
2011178,190,1,9,0,10,0,9
2011179,123,1,2,3,6,6,2
2011180,553,5,5,3,13,3,2
2011181,599,5,9,9,23,3,4
2011182,262,2,6,2,10,0,4
2011183,793,7,9,3,19,9,6
2011184,039,0,3,9,12,2,9
2011185,457,4,5,7,16,6,3
2011186,775,7,7,5,19,9,2
2011187,812,8,1,2,11,1,7
2011188,768,7,6,8,21,1,2
2011189,003,0,0,3,3,3,3
2011190,125,1,2,5,8,8,4
2011191,419,4,1,9,14,4,8
2011192,812,8,1,2,11,1,7
2011193,700,7,0,0,7,7,7
2011194,889,8,8,9,25,5,1
2011195,861,8,6,1,15,5,7
2011196,708,7,0,8,15,5,8
2011197,318,3,1,8,12,2,7
2011198,668,6,6,8,20,0,2
2011199,004,0,0,4,4,4,4
2011200,769,7,6,9,22,2,3
2011201,679,6,7,9,22,2,3
2011202,633,6,3,3,12,2,3
2011203,583,5,8,3,16,6,5
2011204,587,5,8,7,20,0,3
2011205,675,6,7,5,18,8,2
2011206,852,8,5,2,15,5,6
2011207,648,6,4,8,18,8,4
2011208,615,6,1,5,12,2,5
2011209,281,2,8,1,11,1,7
2011210,976,9,7,6,22,2,3
2011211,326,3,2,6,11,1,4
2011212,331,3,3,1,7,7,2
2011213,806,8,0,6,14,4,8
2011214,254,2,5,4,11,1,3
2011215,797,7,9,7,23,3,2
2011216,506,5,0,6,11,1,6
2011217,607,6,0,7,13,3,7
2011218,905,9,0,5,14,4,9
2011219,547,5,4,7,16,6,3
2011220,604,6,0,4,10,0,6
2011221,369,3,6,9,18,8,6
2011222,435,4,3,5,12,2,2
2011223,677,6,7,7,20,0,1
2011224,478,4,7,8,19,9,4
2011225,886,8,8,6,22,2,2
2011226,632,6,3,2,11,1,4
2011227,821,8,2,1,11,1,7
2011228,324,3,2,4,9,9,2
2011229,105,1,0,5,6,6,5
2011230,874,8,7,4,19,9,4
2011231,853,8,5,3,16,6,5
2011232,923,9,2,3,14,4,7
2011233,561,5,6,1,12,2,5
2011234,093,0,9,3,12,2,9
2011235,304,3,0,4,7,7,4
2011236,737,7,3,7,17,7,4
2011237,372,3,7,2,12,2,5
2011238,013,0,1,3,4,4,3
2011239,882,8,8,2,18,8,6
2011240,086,0,8,6,14,4,8
2011241,648,6,4,8,18,8,4
2011242,967,9,6,7,22,2,3
2011243,721,7,2,1,10,0,6
2011244,962,9,6,2,17,7,7
2011245,310,3,1,0,4,4,3
2011246,014,0,1,4,5,5,4
2011247,430,4,3,0,7,7,4
2011248,442,4,4,2,10,0,2
2011249,756,7,5,6,18,8,2
2011250,343,3,4,3,10,0,1
2011251,431,4,3,1,8,8,3
2011252,432,4,3,2,9,9,2
2011253,610,6,1,0,7,7,6
2011254,853,8,5,3,16,6,5
2011255,546,5,4,6,15,5,2
2011256,985,9,8,5,22,2,4
2011257,161,1,6,1,8,8,5
2011258,370,3,7,0,10,0,7
2011259,867,8,6,7,21,1,2
2011260,653,6,5,3,14,4,3
2011261,587,5,8,7,20,0,3
2011262,925,9,2,5,16,6,7
2011263,503,5,0,3,8,8,5
2011264,379,3,7,9,19,9,6
2011265,498,4,9,8,21,1,5
2011266,498,4,9,8,21,1,5
2011267,786,7,8,6,21,1,2
2011268,378,3,7,8,18,8,5
2011269,876,8,7,6,21,1,2
2011270,155,1,5,5,11,1,4
2011271,014,0,1,4,5,5,4
2011272,946,9,4,6,19,9,5
2011273,832,8,3,2,13,3,6
2011274,359,3,5,9,17,7,6
2011275,059,0,5,9,14,4,9
2011276,880,8,8,0,16,6,8
2011277,324,3,2,4,9,9,2
2011278,951,9,5,1,15,5,8
2011279,382,3,8,2,13,3,6
2011280,875,8,7,5,20,0,3
2011281,214,2,1,4,7,7,3
2011282,893,8,9,3,20,0,6
2011283,905,9,0,5,14,4,9
2011284,205,2,0,5,7,7,5
2011285,264,2,6,4,12,2,4
2011286,231,2,3,1,6,6,2
2011287,672,6,7,2,15,5,5
2011288,629,6,2,9,17,7,7
2011289,504,5,0,4,9,9,5
2011290,604,6,0,4,10,0,6
2011291,093,0,9,3,12,2,9
2011292,393,3,9,3,15,5,6
2011293,256,2,5,6,13,3,4
2011294,959,9,5,9,23,3,4
2011295,329,3,2,9,14,4,7
2011296,833,8,3,3,14,4,5
2011297,458,4,5,8,17,7,4
2011298,099,0,9,9,18,8,9
2011299,006,0,0,6,6,6,6
2011300,822,8,2,2,12,2,6
2011301,641,6,4,1,11,1,5
2011302,496,4,9,6,19,9,5
2011303,107,1,0,7,8,8,7
2011304,322,3,2,2,7,7,1
2011305,116,1,1,6,8,8,5
2011306,626,6,2,6,14,4,4
2011307,990,9,9,0,18,8,9
2011308,669,6,6,9,21,1,3
2011309,773,7,7,3,17,7,4
2011310,825,8,2,5,15,5,6
2011311,094,0,9,4,13,3,9
2011312,365,3,6,5,14,4,3
2011313,466,4,6,6,16,6,2
2011314,783,7,8,3,18,8,5
2011315,374,3,7,4,14,4,4
2011316,538,5,3,8,16,6,5
2011317,492,4,9,2,15,5,7
2011318,413,4,1,3,8,8,3
2011319,356,3,5,6,14,4,3
