issue,prize,hundred,ten,unit,sum,tail,gap
2018001,177,1,7,7,15,5,6
2018002,644,6,4,4,14,4,2
2018003,145,1,4,5,10,0,4
2018004,416,4,1,6,11,1,5
2018005,391,3,9,1,13,3,8
2018006,869,8,6,9,23,3,3
2018007,080,0,8,0,8,8,8
2018008,447,4,4,7,15,5,3
2018009,496,4,9,6,19,9,5
2018010,167,1,6,7,14,4,6
2018011,972,9,7,2,18,8,7
2018012,437,4,3,7,14,4,4
2018013,606,6,0,6,12,2,6
2018014,161,1,6,1,8,8,5
2018015,739,7,3,9,19,9,6
2018016,374,3,7,4,14,4,4
2018017,990,9,9,0,18,8,9
2018018,174,1,7,4,12,2,6
2018019,760,7,6,0,13,3,7
2018020,921,9,2,1,12,2,8
2018021,726,7,2,6,15,5,5
2018022,656,6,5,6,17,7,1
2018023,936,9,3,6,18,8,6
2018024,506,5,0,6,11,1,6
2018025,543,5,4,3,12,2,2
2018026,476,4,7,6,17,7,3
2018027,489,4,8,9,21,1,5
2018028,313,3,1,3,7,7,2
2018029,790,7,9,0,16,6,9
2018030,753,7,5,3,15,5,4
2018031,525,5,2,5,12,2,3
2018032,860,8,6,0,14,4,8
2018033,870,8,7,0,15,5,8
2018034,263,2,6,3,11,1,4
2018035,752,7,5,2,14,4,5
2018036,693,6,9,3,18,8,6
2018037,768,7,6,8,21,1,2
2018038,947,9,4,7,20,0,5
2018039,125,1,2,5,8,8,4
2018040,478,4,7,8,19,9,4
2018041,411,4,1,1,6,6,3
2018042,537,5,3,7,15,5,4
2018043,079,0,7,9,16,6,9
2018044,237,2,3,7,12,2,5
2018045,009,0,0,9,9,9,9
2018046,551,5,5,1,11,1,4
2018047,088,0,8,8,16,6,8
2018048,444,4,4,4,12,2,0
2018049,818,8,1,8,17,7,7
2018050,780,7,8,0,15,5,8
2018051,424,4,2,4,10,0,2
2018052,958,9,5,8,22,2,4
2018053,827,8,2,7,17,7,6
2018054,663,6,6,3,15,5,3
2018055,043,0,4,3,7,7,4
2018056,446,4,4,6,14,4,2
2018057,252,2,5,2,9,9,3
2018058,497,4,9,7,20,0,5
2018059,755,7,5,5,17,7,2
2018060,774,7,7,4,18,8,3
2018061,134,1,3,4,8,8,3
2018062,836,8,3,6,17,7,5
2018063,820,8,2,0,10,0,8
2018064,234,2,3,4,9,9,2
2018065,238,2,3,8,13,3,6
2018066,226,2,2,6,10,0,4
2018067,171,1,7,1,9,9,6
2018068,911,9,1,1,11,1,8
2018069,141,1,4,1,6,6,3
2018070,890,8,9,0,17,7,9
2018071,503,5,0,3,8,8,5
2018072,412,4,1,2,7,7,3
2018073,748,7,4,8,19,9,4
2018074,941,9,4,1,14,4,8
2018075,342,3,4,2,9,9,2
2018076,328,3,2,8,13,3,6
2018077,137,1,3,7,11,1,6
2018078,294,2,9,4,15,5,7
2018079,738,7,3,8,18,8,5
2018080,749,7,4,9,20,0,5
2018081,948,9,4,8,21,1,5
2018082,574,5,7,4,16,6,3
2018083,752,7,5,2,14,4,5
2018084,554,5,5,4,14,4,1
2018085,334,3,3,4,10,0,1
2018086,391,3,9,1,13,3,8
2018087,827,8,2,7,17,7,6
2018088,212,2,1,2,5,5,1
2018089,773,7,7,3,17,7,4
2018090,942,9,4,2,15,5,7
2018091,071,0,7,1,8,8,7
2018092,153,1,5,3,9,9,4
2018093,553,5,5,3,13,3,2
2018094,734,7,3,4,14,4,4
2018095,894,8,9,4,21,1,5
2018096,475,4,7,5,16,6,3
2018097,304,3,0,4,7,7,4
2018098,394,3,9,4,16,6,6
2018099,332,3,3,2,8,8,1
2018100,830,8,3,0,11,1,8
2018101,798,7,9,8,24,4,2
2018102,938,9,3,8,20,0,6
2018103,796,7,9,6,22,2,3
2018104,767,7,6,7,20,0,1
2018105,845,8,4,5,17,7,4
2018106,960,9,6,0,15,5,9
2018107,947,9,4,7,20,0,5
2018108,010,0,1,0,1,1,1
2018109,331,3,3,1,7,7,2
2018110,746,7,4,6,17,7,3
2018111,817,8,1,7,16,6,7
2018112,256,2,5,6,13,3,4
2018113,798,7,9,8,24,4,2
2018114,887,8,8,7,23,3,1
2018115,180,1,8,0,9,9,8
2018116,820,8,2,0,10,0,8
2018117,836,8,3,6,17,7,5
