issue,prize,hundred,ten,unit,sum,tail,gap
2013001,524,5,2,4,11,1,3
2013002,599,5,9,9,23,3,4
2013003,724,7,2,4,13,3,5
2013004,184,1,8,4,13,3,7
2013005,468,4,6,8,18,8,4
2013006,853,8,5,3,16,6,5
2013007,626,6,2,6,14,4,4
2013008,599,5,9,9,23,3,4
2013009,574,5,7,4,16,6,3
2013010,688,6,8,8,22,2,2
2013011,618,6,1,8,15,5,7
2013012,760,7,6,0,13,3,7
2013013,292,2,9,2,13,3,7
2013014,266,2,6,6,14,4,4
2013015,647,6,4,7,17,7,3
2013016,708,7,0,8,15,5,8
2013017,359,3,5,9,17,7,6
2013018,824,8,2,4,14,4,6
2013019,567,5,6,7,18,8,2
2013020,963,9,6,3,18,8,6
2013021,719,7,1,9,17,7,8
2013022,744,7,4,4,15,5,3
2013023,672,6,7,2,15,5,5
2013024,859,8,5,9,22,2,4
2013025,322,3,2,2,7,7,1
2013026,895,8,9,5,22,2,4
2013027,490,4,9,0,13,3,9
2013028,072,0,7,2,9,9,7
2013029,722,7,2,2,11,1,5
2013030,354,3,5,4,12,2,2
2013031,593,5,9,3,17,7,6
2013032,898,8,9,8,25,5,1
2013033,325,3,2,5,10,0,3
2013034,690,6,9,0,15,5,9
2013035,446,4,4,6,14,4,2
2013036,921,9,2,1,12,2,8
2013037,365,3,6,5,14,4,3
2013038,806,8,0,6,14,4,8
2013039,911,9,1,1,11,1,8
2013040,898,8,9,8,25,5,1
2013041,986,9,8,6,23,3,3
2013042,091,0,9,1,10,0,9
2013043,530,5,3,0,8,8,5
2013044,731,7,3,1,11,1,6
2013045,299,2,9,9,20,0,7
2013046,446,4,4,6,14,4,2
2013047,072,0,7,2,9,9,7
2013048,263,2,6,3,11,1,4
2013049,728,7,2,8,17,7,6
2013050,221,2,2,1,5,5,1
2013051,652,6,5,2,13,3,4
2013052,642,6,4,2,12,2,4
2013053,212,2,1,2,5,5,1
2013054,732,7,3,2,12,2,5
2013055,053,0,5,3,8,8,5
