issue,prize,hundred,ten,unit,sum,tail,gap
2025001,123,1,2,3,6,6,2
2025002,900,9,0,0,9,9,9
2025003,168,1,6,8,15,5,7
2025004,351,3,5,1,9,9,4
2025005,617,6,1,7,14,4,6
2025006,656,6,5,6,17,7,1
2025007,362,3,6,2,11,1,4
2025008,128,1,2,8,11,1,7
2025009,806,8,0,6,14,4,8
2025010,143,1,4,3,8,8,3
2025011,027,0,2,7,9,9,7
2025012,471,4,7,1,12,2,6
2025013,978,9,7,8,24,4,2
2025014,508,5,0,8,13,3,8
2025015,398,3,9,8,20,0,6
2025016,963,9,6,3,18,8,6
2025017,956,9,5,6,20,0,4
2025018,292,2,9,2,13,3,7
2025019,734,7,3,4,14,4,4
2025020,159,1,5,9,15,5,8
2025021,346,3,4,6,13,3,3
2025022,484,4,8,4,16,6,4
2025023,788,7,8,8,23,3,1
2025024,228,2,2,8,12,2,6
2025025,677,6,7,7,20,0,1
2025026,346,3,4,6,13,3,3
2025027,048,0,4,8,12,2,8
2025028,822,8,2,2,12,2,6
2025029,489,4,8,9,21,1,5
2025030,297,2,9,7,18,8,7
2025031,513,5,1,3,9,9,4
2025032,392,3,9,2,14,4,7
2025033,934,9,3,4,16,6,6
2025034,309,3,0,9,12,2,9
2025035,849,8,4,9,21,1,5
2025036,521,5,2,1,8,8,4
2025037,578,5,7,8,20,0,3
2025038,366,3,6,6,15,5,3
2025039,588,5,8,8,21,1,3
2025040,875,8,7,5,20,0,3
2025041,916,9,1,6,16,6,8
2025042,675,6,7,5,18,8,2
2025043,552,5,5,2,12,2,3
2025044,805,8,0,5,13,3,8
2025045,722,7,2,2,11,1,5
2025046,372,3,7,2,12,2,5
2025047,806,8,0,6,14,4,8
2025048,570,5,7,0,12,2,7
2025049,037,0,3,7,10,0,7
2025050,570,5,7,0,12,2,7
2025051,973,9,7,3,19,9,6
2025052,337,3,3,7,13,3,4
2025053,899,8,9,9,26,6,1
2025054,384,3,8,4,15,5,5
2025055,916,9,1,6,16,6,8
2025056,716,7,1,6,14,4,6
2025057,765,7,6,5,18,8,2
2025058,672,6,7,2,15,5,5
2025059,771,7,7,1,15,5,6
2025060,793,7,9,3,19,9,6
2025061,490,4,9,0,13,3,9
2025062,257,2,5,7,14,4,5
2025063,466,4,6,6,16,6,2
2025064,656,6,5,6,17,7,1
2025065,990,9,9,0,18,8,9
2025066,184,1,8,4,13,3,7
2025067,671,6,7,1,14,4,6
2025068,975,9,7,5,21,1,4
2025069,934,9,3,4,16,6,6
2025070,771,7,7,1,15,5,6
2025071,462,4,6,2,12,2,4
2025072,935,9,3,5,17,7,6
2025073,132,1,3,2,6,6,2
2025074,179,1,7,9,17,7,8
2025075,743,7,4,3,14,4,4
2025076,407,4,0,7,11,1,7
2025077,425,4,2,5,11,1,3
2025078,113,1,1,3,5,5,2
2025079,296,2,9,6,17,7,7
2025080,738,7,3,8,18,8,5
2025081,766,7,6,6,19,9,1
2025082,344,3,4,4,11,1,1
2025083,593,5,9,3,17,7,6
2025084,304,3,0,4,7,7,4
2025085,353,3,5,3,11,1,2
2025086,634,6,3,4,13,3,3
2025087,845,8,4,5,17,7,4
2025088,222,2,2,2,6,6,0
2025089,208,2,0,8,10,0,8
2025090,993,9,9,3,21,1,6
2025091,830,8,3,0,11,1,8
2025092,721,7,2,1,10,0,6
2025093,432,4,3,2,9,9,2
2025094,534,5,3,4,12,2,2
2025095,672,6,7,2,15,5,5
2025096,948,9,4,8,21,1,5
2025097,171,1,7,1,9,9,6
2025098,192,1,9,2,12,2,8
2025099,174,1,7,4,12,2,6
2025100,997,9,9,7,25,5,2
2025101,911,9,1,1,11,1,8
2025102,233,2,3,3,8,8,1
2025103,471,4,7,1,12,2,6
2025104,144,1,4,4,9,9,3
2025105,084,0,8,4,12,2,8
2025106,076,0,7,6,13,3,7
2025107,726,7,2,6,15,5,5
2025108,877,8,7,7,22,2,1
2025109,619,6,1,9,16,6,8
2025110,116,1,1,6,8,8,5
2025111,588,5,8,8,21,1,3
2025112,483,4,8,3,15,5,5
2025113,029,0,2,9,11,1,9
2025114,192,1,9,2,12,2,8
2025115,847,8,4,7,19,9,4
2025116,360,3,6,0,9,9,6
2025117,170,1,7,0,8,8,7
2025118,255,2,5,5,12,2,3
2025119,703,7,0,3,10,0,7
2025120,401,4,0,1,5,5,4
2025121,424,4,2,4,10,0,2
2025122,030,0,3,0,3,3,3
2025123,842,8,4,2,14,4,6
2025124,527,5,2,7,14,4,5
2025125,627,6,2,7,15,5,5
2025126,184,1,8,4,13,3,7
2025127,492,4,9,2,15,5,7
2025128,870,8,7,0,15,5,8
2025129,189,1,8,9,18,8,8
2025130,068,0,6,8,14,4,8
2025131,367,3,6,7,16,6,4
2025132,275,2,7,5,14,4,5
2025133,866,8,6,6,20,0,2
2025134,510,5,1,0,6,6,5
2025135,816,8,1,6,15,5,7
2025136,324,3,2,4,9,9,2
2025137,721,7,2,1,10,0,6
2025138,895,8,9,5,22,2,4
2025139,155,1,5,5,11,1,4
2025140,267,2,6,7,15,5,5
2025141,475,4,7,5,16,6,3
2025142,343,3,4,3,10,0,1
2025143,944,9,4,4,17,7,5
2025144,389,3,8,9,20,0,6
2025145,471,4,7,1,12,2,6
2025146,822,8,2,2,12,2,6
2025147,023,0,2,3,5,5,3
2025148,557,5,5,7,17,7,2
2025149,772,7,7,2,16,6,5
2025150,212,2,1,2,5,5,1
2025151,686,6,8,6,20,0,2
2025152,747,7,4,7,18,8,3
2025153,894,8,9,4,21,1,5
2025154,989,9,8,9,26,6,1
2025155,040,0,4,0,4,4,4
2025156,638,6,3,8,17,7,5
2025157,250,2,5,0,7,7,5
2025158,882,8,8,2,18,8,6
2025159,274,2,7,4,13,3,5
