issue,prize,hundred,ten,unit,sum,tail,gap
2010001,327,3,2,7,12,2,5
2010002,981,9,8,1,18,8,8
2010003,915,9,1,5,15,5,8
2010004,232,2,3,2,7,7,1
2010005,387,3,8,7,18,8,5
2010006,527,5,2,7,14,4,5
2010007,425,4,2,5,11,1,3
2010008,645,6,4,5,15,5,2
2010009,037,0,3,7,10,0,7
2010010,929,9,2,9,20,0,7
2010011,420,4,2,0,6,6,4
2010012,080,0,8,0,8,8,8
2010013,937,9,3,7,19,9,6
2010014,394,3,9,4,16,6,6
2010015,956,9,5,6,20,0,4
2010016,108,1,0,8,9,9,8
2010017,383,3,8,3,14,4,5
2010018,436,4,3,6,13,3,3
2010019,184,1,8,4,13,3,7
2010020,170,1,7,0,8,8,7
2010021,084,0,8,4,12,2,8
2010022,570,5,7,0,12,2,7
2010023,451,4,5,1,10,0,4
2010024,837,8,3,7,18,8,5
2010025,746,7,4,6,17,7,3
2010026,685,6,8,5,19,9,3
2010027,500,5,0,0,5,5,5
2010028,894,8,9,4,21,1,5
2010029,550,5,5,0,10,0,5
2010030,802,8,0,2,10,0,8
2010031,015,0,1,5,6,6,5
2010032,093,0,9,3,12,2,9
2010033,668,6,6,8,20,0,2
2010034,569,5,6,9,20,0,4
2010035,349,3,4,9,16,6,6
2010036,568,5,6,8,19,9,3
2010037,778,7,7,8,22,2,1
2010038,596,5,9,6,20,0,4
2010039,511,5,1,1,7,7,4
2010040,401,4,0,1,5,5,4
2010041,236,2,3,6,11,1,4
2010042,601,6,0,1,7,7,6
2010043,408,4,0,8,12,2,8
2010044,415,4,1,5,10,0,4
2010045,368,3,6,8,17,7,5
2010046,961,9,6,1,16,6,8
2010047,400,4,0,0,4,4,4
2010048,121,1,2,1,4,4,1
2010049,259,2,5,9,16,6,7
2010050,735,7,3,5,15,5,4
2010051,734,7,3,4,14,4,4
2010052,204,2,0,4,6,6,4
2010053,548,5,4,8,17,7,4
2010054,796,7,9,6,22,2,3
2010055,230,2,3,0,5,5,3
2010056,534,5,3,4,12,2,2
2010057,374,3,7,4,14,4,4
2010058,411,4,1,1,6,6,3
2010059,627,6,2,7,15,5,5
2010060,570,5,7,0,12,2,7
2010061,609,6,0,9,15,5,9
2010062,146,1,4,6,11,1,5
2010063,844,8,4,4,16,6,4
2010064,268,2,6,8,16,6,6
2010065,208,2,0,8,10,0,8
2010066,360,3,6,0,9,9,6
2010067,588,5,8,8,21,1,3
2010068,597,5,9,7,21,1,4
2010069,851,8,5,1,14,4,7
2010070,669,6,6,9,21,1,3
2010071,578,5,7,8,20,0,3
2010072,970,9,7,0,16,6,9
2010073,555,5,5,5,15,5,0
2010074,349,3,4,9,16,6,6
2010075,854,8,5,4,17,7,4
2010076,271,2,7,1,10,0,6
2010077,992,9,9,2,20,0,7
2010078,049,0,4,9,13,3,9
2010079,957,9,5,7,21,1,4
2010080,264,2,6,4,12,2,4
