issue,prize,hundred,ten,unit
2019001,322,3,2,2
2019002,754,7,5,4
2019003,542,5,4,2
2019004,241,2,4,1
2019005,062,0,6,2
2019006,148,1,4,8
2019007,751,7,5,1
2019008,987,9,8,7
2019009,668,6,6,8
2019010,425,4,2,5
2019011,492,4,9,2
2019012,541,5,4,1
2019013,223,2,2,3
2019014,023,0,2,3
2019015,424,4,2,4
2019016,591,5,9,1
2019017,147,1,4,7
2019018,170,1,7,0
2019019,999,9,9,9
2019020,821,8,2,1
2019021,662,6,6,2
2019022,074,0,7,4
2019023,661,6,6,1
2019024,588,5,8,8
2019025,162,1,6,2
2019026,185,1,8,5
2019027,613,6,1,3
2019028,501,5,0,1
2019029,253,2,5,3
2019030,838,8,3,8
2019031,712,7,1,2
2019032,848,8,4,8
2019033,342,3,4,2
2019034,808,8,0,8
2019035,575,5,7,5
2019036,507,5,0,7
2019037,699,6,9,9
2019038,048,0,4,8
2019039,066,0,6,6
2019040,301,3,0,1
2019041,130,1,3,0
2019042,328,3,2,8
2019043,603,6,0,3
2019044,105,1,0,5
2019045,377,3,7,7
2019046,231,2,3,1
2019047,363,3,6,3
2019048,161,1,6,1
2019049,632,6,3,2
2019050,811,8,1,1
2019051,337,3,3,7
2019052,577,5,7,7
2019053,364,3,6,4
2019054,374,3,7,4
2019055,182,1,8,2
2019056,252,2,5,2
2019057,868,8,6,8
2019058,417,4,1,7
2019059,104,1,0,4
2019060,239,2,3,9
2019061,288,2,8,8
2019062,848,8,4,8
2019063,211,2,1,1
2019064,752,7,5,2
2019065,432,4,3,2
2019066,257,2,5,7
2019067,579,5,7,9
2019068,550,5,5,0
2019069,793,7,9,3
2019070,755,7,5,5
2019071,205,2,0,5
2019072,921,9,2,1
2019073,709,7,0,9
2019074,842,8,4,2
2019075,429,4,2,9
2019076,214,2,1,4
2019077,514,5,1,4
2019078,239,2,3,9
2019079,087,0,8,7
2019080,316,3,1,6
2019081,954,9,5,4
2019082,595,5,9,5
2019083,058,0,5,8
2019084,302,3,0,2
2019085,612,6,1,2
2019086,349,3,4,9
2019087,058,0,5,8
2019088,381,3,8,1
2019089,382,3,8,2
2019090,785,7,8,5
2019091,035,0,3,5
2019092,512,5,1,2
2019093,525,5,2,5
2019094,088,0,8,8
2019095,114,1,1,4
2019096,912,9,1,2
2019097,071,0,7,1
2019098,549,5,4,9
2019099,461,4,6,1
2019100,388,3,8,8
2019101,561,5,6,1
2019102,056,0,5,6
2019103,345,3,4,5
2019104,461,4,6,1
2019105,458,4,5,8
