issue,prize,hundred,ten,unit,sum,tail,gap
2007001,038,0,3,8,11,1,8
2007002,060,0,6,0,6,6,6
2007003,839,8,3,9,20,0,6
2007004,163,1,6,3,10,0,5
2007005,091,0,9,1,10,0,9
2007006,835,8,3,5,16,6,5
2007007,541,5,4,1,10,0,4
2007008,416,4,1,6,11,1,5
2007009,292,2,9,2,13,3,7
2007010,453,4,5,3,12,2,2
2007011,261,2,6,1,9,9,5
2007012,405,4,0,5,9,9,5
2007013,252,2,5,2,9,9,3
2007014,047,0,4,7,11,1,7
2007015,977,9,7,7,23,3,2
2007016,878,8,7,8,23,3,1
2007017,485,4,8,5,17,7,4
2007018,204,2,0,4,6,6,4
2007019,219,2,1,9,12,2,8
2007020,151,1,5,1,7,7,4
2007021,757,7,5,7,19,9,2
2007022,896,8,9,6,23,3,3
2007023,716,7,1,6,14,4,6
2007024,955,9,5,5,19,9,4
2007025,319,3,1,9,13,3,8
2007026,260,2,6,0,8,8,6
2007027,349,3,4,9,16,6,6
2007028,119,1,1,9,11,1,8
2007029,399,3,9,9,21,1,6
2007030,281,2,8,1,11,1,7
2007031,704,7,0,4,11,1,7
2007032,961,9,6,1,16,6,8
2007033,875,8,7,5,20,0,3
2007034,494,4,9,4,17,7,5
2007035,764,7,6,4,17,7,3
2007036,032,0,3,2,5,5,3
2007037,507,5,0,7,12,2,7
2007038,203,2,0,3,5,5,3
2007039,025,0,2,5,7,7,5
2007040,948,9,4,8,21,1,5
2007041,335,3,3,5,11,1,2
2007042,199,1,9,9,19,9,8
2007043,947,9,4,7,20,0,5
2007044,988,9,8,8,25,5,1
2007045,000,0,0,0,0,0,0
2007046,564,5,6,4,15,5,2
2007047,377,3,7,7,17,7,4
2007048,572,5,7,2,14,4,5
2007049,760,7,6,0,13,3,7
2007050,163,1,6,3,10,0,5
2007051,265,2,6,5,13,3,4
2007052,733,7,3,3,13,3,4
2007053,802,8,0,2,10,0,8
2007054,847,8,4,7,19,9,4
2007055,017,0,1,7,8,8,7
2007056,278,2,7,8,17,7,6
2007057,955,9,5,5,19,9,4
2007058,887,8,8,7,23,3,1
2007059,528,5,2,8,15,5,6
2007060,368,3,6,8,17,7,5
2007061,787,7,8,7,22,2,1
2007062,327,3,2,7,12,2,5
2007063,365,3,6,5,14,4,3
2007064,330,3,3,0,6,6,3
2007065,268,2,6,8,16,6,6
2007066,683,6,8,3,17,7,5
2007067,499,4,9,9,22,2,5
2007068,103,1,0,3,4,4,3
2007069,531,5,3,1,9,9,4
2007070,441,4,4,1,9,9,3
2007071,984,9,8,4,21,1,5
2007072,010,0,1,0,1,1,1
