issue,prize,hundred,ten,unit
2006001,184,1,8,4
2006002,299,2,9,9
2006003,012,0,1,2
2006004,940,9,4,0
2006005,185,1,8,5
2006006,598,5,9,8
2006007,561,5,6,1
2006008,489,4,8,9
2006009,803,8,0,3
2006010,538,5,3,8
2006011,755,7,5,5
2006012,652,6,5,2
2006013,777,7,7,7
2006014,678,6,7,8
2006015,446,4,4,6
2006016,519,5,1,9
2006017,925,9,2,5
2006018,916,9,1,6
2006019,199,1,9,9
2006020,710,7,1,0
2006021,438,4,3,8
2006022,164,1,6,4
2006023,215,2,1,5
2006024,163,1,6,3
2006025,707,7,0,7
2006026,998,9,9,8
2006027,404,4,0,4
2006028,547,5,4,7
2006029,706,7,0,6
2006030,086,0,8,6
2006031,675,6,7,5
2006032,699,6,9,9
2006033,549,5,4,9
2006034,465,4,6,5
2006035,647,6,4,7
2006036,154,1,5,4
2006037,236,2,3,6
2006038,374,3,7,4
2006039,587,5,8,7
2006040,876,8,7,6
2006041,853,8,5,3
2006042,028,0,2,8
2006043,445,4,4,5
2006044,026,0,2,6
2006045,187,1,8,7
2006046,568,5,6,8
2006047,694,6,9,4
2006048,564,5,6,4
2006049,489,4,8,9
2006050,874,8,7,4
2006051,873,8,7,3
2006052,501,5,0,1
2006053,698,6,9,8
2006054,909,9,0,9
2006055,140,1,4,0
2006056,898,8,9,8
2006057,791,7,9,1
2006058,600,6,0,0
2006059,990,9,9,0
2006060,062,0,6,2
2006061,224,2,2,4
2006062,761,7,6,1
2006063,458,4,5,8
2006064,983,9,8,3
2006065,921,9,2,1
2006066,967,9,6,7
2006067,149,1,4,9
2006068,003,0,0,3
2006069,082,0,8,2
2006070,415,4,1,5
2006071,202,2,0,2
2006072,420,4,2,0
2006073,203,2,0,3
2006074,292,2,9,2
2006075,844,8,4,4
2006076,224,2,2,4
2006077,201,2,0,1
2006078,286,2,8,6
2006079,714,7,1,4
2006080,544,5,4,4
2006081,434,4,3,4
2006082,671,6,7,1
2006083,972,9,7,2
2006084,276,2,7,6
2006085,495,4,9,5
2006086,162,1,6,2
2006087,947,9,4,7
2006088,642,6,4,2
2006089,492,4,9,2
2006090,877,8,7,7
2006091,533,5,3,3
2006092,444,4,4,4
2006093,824,8,2,4
2006094,010,0,1,0
2006095,304,3,0,4
2006096,275,2,7,5
2006097,938,9,3,8
2006098,660,6,6,0
2006099,826,8,2,6
2006100,451,4,5,1
2006101,430,4,3,0
2006102,260,2,6,0
2006103,223,2,2,3
2006104,616,6,1,6
2006105,519,5,1,9
2006106,533,5,3,3
2006107,190,1,9,0
2006108,696,6,9,6
2006109,308,3,0,8
2006110,437,4,3,7
2006111,218,2,1,8
2006112,499,4,9,9
2006113,601,6,0,1
2006114,997,9,9,7
2006115,259,2,5,9
2006116,332,3,3,2
2006117,999,9,9,9
2006118,890,8,9,0
2006119,900,9,0,0
2006120,332,3,3,2
2006121,575,5,7,5
2006122,520,5,2,0
2006123,249,2,4,9
2006124,261,2,6,1
2006125,315,3,1,5
2006126,238,2,3,8
2006127,103,1,0,3
2006128,640,6,4,0
2006129,929,9,2,9
2006130,808,8,0,8
2006131,165,1,6,5
2006132,093,0,9,3
2006133,989,9,8,9
2006134,073,0,7,3
2006135,745,7,4,5
2006136,391,3,9,1
2006137,733,7,3,3
2006138,087,0,8,7
2006139,172,1,7,2
2006140,830,8,3,0
2006141,974,9,7,4
2006142,266,2,6,6
2006143,104,1,0,4
2006144,151,1,5,1
2006145,588,5,8,8
2006146,834,8,3,4
2006147,733,7,3,3
2006148,760,7,6,0
2006149,019,0,1,9
2006150,049,0,4,9
2006151,181,1,8,1
2006152,814,8,1,4
2006153,950,9,5,0
2006154,948,9,4,8
2006155,759,7,5,9
2006156,678,6,7,8
2006157,038,0,3,8
2006158,623,6,2,3
2006159,539,5,3,9
2006160,986,9,8,6
2006161,976,9,7,6
2006162,242,2,4,2
2006163,994,9,9,4
2006164,534,5,3,4
2006165,397,3,9,7
2006166,373,3,7,3
2006167,964,9,6,4
2006168,211,2,1,1
2006169,794,7,9,4
2006170,305,3,0,5
2006171,246,2,4,6
2006172,687,6,8,7
2006173,019,0,1,9
2006174,454,4,5,4
2006175,001,0,0,1
2006176,772,7,7,2
2006177,945,9,4,5
2006178,465,4,6,5
2006179,499,4,9,9
2006180,593,5,9,3
2006181,959,9,5,9
2006182,217,2,1,7
2006183,465,4,6,5
2006184,340,3,4,0
2006185,700,7,0,0
2006186,469,4,6,9
2006187,713,7,1,3
2006188,995,9,9,5
2006189,334,3,3,4
2006190,419,4,1,9
2006191,293,2,9,3
2006192,300,3,0,0
2006193,748,7,4,8
2006194,116,1,1,6
2006195,918,9,1,8
2006196,848,8,4,8
2006197,949,9,4,9
2006198,165,1,6,5
2006199,029,0,2,9
2006200,928,9,2,8
2006201,724,7,2,4
2006202,891,8,9,1
2006203,451,4,5,1
2006204,872,8,7,2
2006205,481,4,8,1
2006206,471,4,7,1
2006207,937,9,3,7
2006208,368,3,6,8
2006209,562,5,6,2
2006210,257,2,5,7
2006211,552,5,5,2
2006212,934,9,3,4
2006213,421,4,2,1
2006214,340,3,4,0
2006215,527,5,2,7
2006216,836,8,3,6
2006217,353,3,5,3
2006218,721,7,2,1
2006219,554,5,5,4
2006220,546,5,4,6
2006221,751,7,5,1
2006222,255,2,5,5
2006223,760,7,6,0
2006224,708,7,0,8
2006225,893,8,9,3
2006226,608,6,0,8
2006227,633,6,3,3
2006228,612,6,1,2
2006229,266,2,6,6
2006230,267,2,6,7
2006231,068,0,6,8
2006232,162,1,6,2
2006233,714,7,1,4
2006234,457,4,5,7
2006235,732,7,3,2
2006236,169,1,6,9
2006237,793,7,9,3
2006238,166,1,6,6
2006239,536,5,3,6
2006240,228,2,2,8
