issue,prize,hundred,ten,unit,sum,tail,gap
2009001,325,3,2,5,10,0,3
2009002,614,6,1,4,11,1,5
2009003,488,4,8,8,20,0,4
2009004,502,5,0,2,7,7,5
2009005,521,5,2,1,8,8,4
2009006,659,6,5,9,20,0,4
2009007,341,3,4,1,8,8,3
2009008,243,2,4,3,9,9,2
2009009,669,6,6,9,21,1,3
2009010,862,8,6,2,16,6,6
2009011,656,6,5,6,17,7,1
2009012,961,9,6,1,16,6,8
2009013,551,5,5,1,11,1,4
2009014,299,2,9,9,20,0,7
2009015,271,2,7,1,10,0,6
2009016,977,9,7,7,23,3,2
2009017,355,3,5,5,13,3,2
2009018,886,8,8,6,22,2,2
2009019,830,8,3,0,11,1,8
2009020,461,4,6,1,11,1,5
2009021,700,7,0,0,7,7,7
2009022,914,9,1,4,14,4,8
2009023,662,6,6,2,14,4,4
2009024,518,5,1,8,14,4,7
2009025,278,2,7,8,17,7,6
2009026,669,6,6,9,21,1,3
2009027,585,5,8,5,18,8,3
2009028,335,3,3,5,11,1,2
2009029,470,4,7,0,11,1,7
2009030,103,1,0,3,4,4,3
2009031,543,5,4,3,12,2,2
2009032,981,9,8,1,18,8,8
2009033,472,4,7,2,13,3,5
2009034,235,2,3,5,10,0,3
2009035,814,8,1,4,13,3,7
2009036,032,0,3,2,5,5,3
2009037,904,9,0,4,13,3,9
2009038,635,6,3,5,14,4,3
2009039,845,8,4,5,17,7,4
2009040,736,7,3,6,16,6,4
2009041,679,6,7,9,22,2,3
2009042,313,3,1,3,7,7,2
2009043,626,6,2,6,14,4,4
2009044,733,7,3,3,13,3,4
2009045,774,7,7,4,18,8,3
2009046,802,8,0,2,10,0,8
2009047,713,7,1,3,11,1,6
2009048,136,1,3,6,10,0,5
2009049,373,3,7,3,13,3,4
2009050,698,6,9,8,23,3,3
2009051,108,1,0,8,9,9,8
2009052,926,9,2,6,17,7,7
2009053,622,6,2,2,10,0,4
2009054,549,5,4,9,18,8,5
2009055,045,0,4,5,9,9,5
2009056,797,7,9,7,23,3,2
2009057,381,3,8,1,12,2,7
2009058,437,4,3,7,14,4,4
2009059,210,2,1,0,3,3,2
2009060,411,4,1,1,6,6,3
2009061,804,8,0,4,12,2,8
2009062,675,6,7,5,18,8,2
